BODEGA,CODIGO,NEW_MAX
1042,0000115182,4
1042,05381,4
1042,10305,4
1044,20109,4
1045,0000125020,5
1045,0000134493,2
1045,04688,5
1046,0000102469,7
1046,0000109169,4
1046,0000123997,2
1046,05399,4
1046,07161,4
1046,08623,2
1046,12455,2
106,02102,6
106,23292,4
1065,0000122450,2
1065,01322,4
1070,0000135290,2
109,0000117424,3
109,0000119786,3
109,06925,3
1096,0000135574,8
1103,0000104258,4
1103,0000123121,8
1103,0000135414,8
1103,04033,2
1103,22397,4
1105,0000128912,7
1105,0000129617,3
1105,04097,2
1109,09082,4
1110,0000109339,3
1113,10362,5
1119,06852,2
1120,0000114632,2
1124,0000101966,2
1124,0000114675,2
1124,0000133312,2
1126,0000102898,2
1126,0000133356,2
113,0000133291,7
113,04376,4
113,08976,4
113,10239,4
1131,05666,10
1134,13502,5
114,0000101724,2
114,0000121834,2
114,00978,2
116,05666,8
117,0000112182,11
125,0000100791,2
125,0000105073,2
125,0000140916,2
125,08095,2
125,08982,2
126,0000117278,4
126,0000132111,4
126,09404,7
126,12408,4
129,0000123630,4
130,0000100941,3
130,0000129924,2
130,0000133312,3
131,0000133810,2
131,0000137774,2
133,0000131553,4
133,0000135573,4
137,0000124233,2
137,0000131765,2
137,10416,2
138,0000105481,4
138,0000121323,4
138,01720,7
138,05666,7
152,0000106653,4
152,0000115787,2
152,0000131632,4
152,0000133365,2
152,0000135654,4
155,0000132950,4
156,0000133335,4
156,08407,2
157,00070,8
160,0000134650,4
160,12398,2
161,08643,8
163,0000100738,2
163,0000129919,4
163,0000133204,2
163,0000140836,2
163,00596,2
163,10436,8
164,0000135146,2
164,08546,4
1702,0000122508,12
1702,0000128730,5
1702,0000136900,5
1702,08619,5
1703,0000116729,7
1703,0000122999,4
1712,0000124987,10
1717,0000127071,3
1717,0000134648,6
1717,28588,6
1718,0000133335,4
1720,0000101899,4
173,0000124916,4
173,0000137058,2
173,05775,2
1735,0000122860,2
1738,0000128194,3
1738,00659,10
1738,04471,9
1739,0000116830,4
1739,0000129909,2
1739,0000133597,5
1741,01763,5
1741,04663,5
1757,0000128008,4
1757,05658,4
1759,0000134276,4
1764,0000131557,4
1777,0000128143,4
1788,0000123563,4
1789,00589,7
1789,04203,8
1791,0000124071,2
1791,0000130577,2
1791,0000136374,9
1791,08797,2
1793,0000129933,3
1794,07164,2
1801,09713,4
1804,0000116830,8
1809,0000128146,4
1825,06231,4
1826,12609,3
184,07189,4
184,12048,2
1846,00185,4
1849,00424,9
1849,01530,8
1849,13435,9
185,0000134865,2
185,01543,2
185,12471,7
1858,0000101699,6
1869,0000134807,4
187,0000103754,4
187,00403,7
1883,0000117424,4
1883,0000131557,4
1883,04663,11
190,0000127006,8
1917,0000139401,4
192,0000111896,2
1941,0000122979,2
1941,13435,6
1941,23314,2
1942,09576,3
195,0000116379,8
1956,0000129277,7
1956,0000132359,4
1956,0000134848,4
1956,13389,4
1963,0000135799,2
197,0000115415,6
1979,0000101950,2
1981,0000134401,4
199,0000135521,4
199,08147,4
1995,0000131184,4
1995,0000132609,4
200,0000101699,9
2009,0000108961,3
2009,0000114468,3
2012,0000123963,2
2012,0000125183,2
2012,0000135753,4
2012,13994,2
203,0000124308,4
203,0000125103,6
2035,0000125020,2
2035,0000131589,3
2057,09499,4
206,0000122047,4
206,12554,4
206,12594,4
2061,0000124375,2
2061,0000126648,2
2061,0000128032,2
2061,13373,5
2074,0000127010,8
2074,0000135201,6
2076,0000116685,2
2078,0000124206,5
2079,0000101841,4
2079,0000123564,2
208,0000118775,2
208,0000127042,2
2091,0000121312,4
2091,0000121858,2
2092,0000130373,2
2092,04181,2
2095,0000119293,4
2096,08235,4
2098,0000134274,2
2102,04244,4
2102,10863,5
211,09382,2
2113,12806,2
2117,00659,4
212,0000123278,5
213,0000135482,7
213,0000135573,4
217,0000128397,4
217,0000130159,4
217,00944,2
219,0000111555,11
219,0000112182,9
220,0000136667,2
220,09539,2
224,0000121420,4
224,0000131138,2
226,0000129920,4
228,0000112009,4
228,0000128142,4
228,0000129010,4
228,04415,4
228,05430,4
228,12131,4
229,09054,6
234,12482,2
243,0000118716,9
243,0000133291,15
247,04181,4
251,0000103925,7
253,0000113915,4
253,02102,4
255,0000121073,2
255,0000122981,4
256,0000132840,2
256,05428,4
268,0000136289,4
268,08619,4
269,0000123823,4
274,0000115272,2
274,0000116294,2
274,0000122969,2
274,0000131998,2
274,0000132828,2
274,0000133687,2
274,0000136702,2
274,06389,4
274,07377,2
274,11706,2
276,0000111555,11
276,0000122775,2
277,0000109536,2
277,24482,2
283,0000104204,9
283,0000117387,4
283,0000123551,4
283,0000124690,2
283,0000132427,4
283,11362,4
283,12070,4
283,13475,2
287,01989,8
289,01204,4
291,08830,4
291,09082,9
305,0000116833,8
305,0000130878,2
305,0000137305,2
305,02169,2
305,09381,2
309,13833,5
310,0000113915,8
310,10436,8
310,12511,4
312,0000128173,2
312,0000136381,2
312,0000136491,2
312,05238,2
312,12640,2
3129,13860,6
3131,0000135290,2
3134,05304,4
3135,04018,9
3137,0000103755,2
3137,0000135574,2
3137,0000136291,2
3139,0000109085,3
3139,0000123014,3
3139,12136,3
314,16723,4
3143,0000136749,3
3144,0000134230,4
3145,0000129492,2
3145,0000135989,2
3145,07448,2
3145,08488,2
